kicks_chair_side|Side Kick with Chair
kicks_chair_side_1s|Side Kick 1 Second with Chair
kicks_chair_side_3|3 Side Kick with Chair
kicks_chair_back|Back Kick with Chair
kicks_chair_hook|Hook Kick with Chair
kicks_chair_axe|Axe Kick with Chair
kicks_chair_crescent|Crescent Kick with Chair
kicks_chair_spin_round|Spinning Roundhouse Kick with Chair
kicks_chair_spin_hook|Spinning Hook Kick with Chair
grapple_trans_knee_slide|Knee Slide Pass Transition
grapple_trans_sprawl_fhl|Sprawl to Front Headlock
grapple_trans_guard_to_half|Guard to Half Guard
grapple_trans_side_to_ns|Side Control to North South
grapple_trans_back_to_mount|Back to Mount
grapple_trans_turtle_to_guard|Turtle to Guard Recovery
grapple_trans_berimbolo|Berimbolo
grapple_trans_kimura_trap|Kimura Trap
grapple_trans_arm_drag_back|Arm Drag to Back Take
grapple_trans_crab_ride|Crab Ride
grapple_trans_truck_entry|Truck Entry
grapple_trans_wrestle_up|Wrestle Up
grapple_trans_guard_to_side|Guard to Side Control
grapple_trans_side_to_mount|Side Control to Mount
grapple_trans_mount_to_back|Mount to Back
grapple_td_single_leg|Single Leg Takedown
grapple_td_ankle_pick|Ankle Pick
grapple_td_body_lock|Body Lock Takedown
grapple_td_arm_drag|Arm Drag
grapple_td_snap_down|Snap Down
grapple_td_hip_throw|Hip Throw
grapple_td_foot_sweep|Foot Sweep
grapple_td_outside_trip|Outside Leg Trip
grapple_td_inside_trip|Inside Leg Trip
grapple_td_harai_goshi|Harai Goshi
grapple_td_uchi_mata|Uchi Mata
grapple_td_seoi_nage|Seoi Nage
grapple_td_tai_otoshi|Tai Otoshi
grapple_td_tomoe_nage|Tomoe Nage
grapple_td_sumi_gaeshi|Sumi Gaeshi
grapple_td_kouchi_gari|Kouchi Gari
grapple_td_sasae|Sasae Tsurikomi Ashi
grapple_td_tani_otoshi|Tani Otoshi
grapple_td_high_crotch|High Crotch
grapple_td_duck_under|Duck Under
grapple_td_low_single|Low Single
grapple_td_knee_tap|Knee Tap
grapple_td_lateral_drop|Lateral Drop
grapple_td_slide_by|Slide By
grapple_esc_mount|Mount Escape
grapple_esc_side|Side Control Escape
grapple_esc_back|Back Escape
grapple_esc_half|Half Guard Escape
grapple_esc_closed|Closed Guard Escape
grapple_esc_knee_belly|Knee on Belly Escape
grapple_esc_triangle|Triangle Choke Escape
grapple_esc_armbar|Armbar Escape
grapple_esc_kimura|Kimura Escape
grapple_esc_guillotine|Guillotine Escape
grapple_esc_ns|North South Escape
grapple_esc_scarf|Scarf Hold Escape
grapple_esc_heel_hook|Heel Hook Defense
grapple_esc_sprawl|Sprawl
grapple_esc_retention|Guard Retention
grapple_esc_framing|Framing
grapple_esc_td_def|Takedown Defense
grapple_esc_rnc_def|Rear Naked Choke Defense
grapple_pass_stack|Stack Pass
grapple_pass_over_under|Over Under Pass
grapple_pass_double_under|Double Under Pass
grapple_pass_leg_drag|Leg Drag Pass
grapple_pass_toreando|Toreando Pass
grapple_pass_smash|Smash Pass
grapple_pass_long_step|Long Step Pass
grapple_pass_x_pass|X-Pass
grapple_pass_body_lock|Body Lock Pass
grapple_pass_float|Float Pass
grapple_pass_backstep|Backstep Pass
grapple_pass_folding|Folding Pass
grapple_guard_half|Half Guard
grapple_guard_butterfly|Butterfly Guard
grapple_guard_dlr|De La Riva Guard
grapple_guard_rdlr|Reverse De La Riva
grapple_guard_spider|Spider Guard
grapple_guard_lasso|Lasso Guard
grapple_guard_x|X-Guard
grapple_guard_slx|Single Leg X Guard
grapple_guard_50_50|50/50 Guard
grapple_guard_deep_half|Deep Half Guard
grapple_guard_rubber|Rubber Guard
grapple_guard_z|Z-Guard
grapple_guard_worm|Worm Guard
grapple_sweep_pendulum|Pendulum Sweep
grapple_sweep_x_guard|X-Guard Sweep
grapple_sweep_balloon|Balloon Sweep
grapple_sweep_hook|Hook Sweep
grapple_sweep_arm_drag|Arm Drag Sweep
grapple_sweep_tripod|Tripod Sweep
grapple_sweep_elevator|Elevator Sweep
grapple_sweep_kimura|Kimura Sweep
grapple_sweep_old_school|Old School Sweep
grapple_sweep_waiter|Waiter Sweep
grapple_sweep_lumberjack|Lumberjack Sweep
grapple_sweep_overhead|Overhead Sweep
grapple_sweep_sickle|Sickle Sweep
grapple_sweep_electric|Electric Chair Sweep
grapple_sweep_scissor|Scissor Sweep
grapple_sweep_butterfly|Butterfly Sweep
grapple_sweep_flower|Flower Sweep
grapple_sub_triangle|Triangle Choke
grapple_sub_rnc|Rear Naked Choke
grapple_sub_kimura|Kimura
grapple_sub_guillotine|Guillotine Choke
grapple_sub_americana|Americana
grapple_sub_omoplata|Omoplata
grapple_sub_ezekiel|Ezekiel Choke
grapple_sub_anaconda|Anaconda Choke
grapple_sub_arm_triangle|Arm Triangle Choke
grapple_sub_gogoplata|Gogoplata
grapple_sub_ns_choke|North South Choke
grapple_sub_clock|Clock Choke
grapple_sub_paper_cutter|Paper Cutter Choke
grapple_sub_peruvian|Peruvian Necktie
grapple_sub_japanese|Japanese Necktie
grapple_sub_von_flue|Von Flue Choke
grapple_sub_bulldog|Bulldog Choke
grapple_sub_banana|Banana Split
grapple_sub_wrist|Wrist Lock
grapple_sub_bicep_slicer|Bicep Slicer
grapple_sub_buggy|Buggy Choke
grapple_sub_tarikoplata|Tarikoplata
